Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_Ads
0,0,1,2,0,2,0,1,0,0,0,1,0,2,0,-0.511029079
1,0,0,1,1,0,0,3,0,0,0,1,0,2,0,-0.406704085
0,0,1,1,1,1,0,1,0,1,0,0,0,2,1,-0.338769739
1,0,1,1,0,1,0,1,1,0,0,1,2,0,0,-0.442564708
1,0,1,1,0,0,0,0,1,2,1,1,0,0,1,-0.436992147
0,0,1,2,0,0,0,1,1,1,1,0,2,0,0,-0.522467038
0,0,0,1,2,1,0,1,1,0,0,1,1,0,1,-0.342432
1,0,0,1,1,1,0,0,2,0,0,1,2,0,0,-0.411542426
0,0,1,1,1,2,0,0,0,1,0,3,0,0,0,-0.414554626
2,0,0,0,1,0,0,1,2,0,0,0,1,0,2,-0.356146074
1,0,0,2,0,0,0,2,0,1,1,1,0,0,1,-0.457399066
0,0,2,0,1,1,0,0,1,1,0,1,1,0,1,-0.358427751
0,1,1,0,1,0,0,1,1,1,0,1,2,0,0,-0.221375407
0,2,1,0,0,0,0,1,0,2,1,0,1,0,1,-0.022516022
0,1,0,0,2,1,0,2,0,0,0,1,1,0,1,-0.268948198
1,0,2,0,0,0,1,0,1,1,2,0,1,0,0,-0.358490021
1,1,0,0,1,0,1,1,0,1,2,1,0,0,0,-0.255007377
0,0,1,0,2,1,0,0,1,1,2,0,1,0,0,-0.327069326
0,0,1,1,1,1,1,0,0,1,2,0,0,0,1,-0.398045367
1,0,0,1,1,0,2,1,0,0,1,2,0,0,0,-0.410810517
0,1,0,1,1,0,1,0,0,2,2,1,0,0,0,-0.263007537
0,0,1,1,1,0,1,1,0,1,0,2,0,0,1,-0.407741449
0,1,2,0,0,1,0,0,0,2,2,1,0,0,0,-0.25581116
0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,-0.176737713
0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,-0.406732708
0,1,0,1,1,1,0,2,0,0,1,2,0,0,0,-0.257864654
0,0,1,2,0,0,1,2,0,0,0,3,0,0,0,-0.574457797
1,0,2,0,0,0,0,1,1,1,1,1,0,1,0,-0.399949452
1,0,0,0,2,0,0,1,2,0,1,0,0,1,1,-0.318964595
1,0,1,1,0,0,0,1,1,1,2,1,0,0,0,-0.425744096
2,0,1,0,0,0,1,0,1,1,1,0,2,0,0,-0.419773704
0,1,1,0,1,1,2,0,0,0,0,0,1,0,2,-0.285305592
0,1,0,1,1,0,2,0,1,0,0,0,1,1,1,-0.265107151
1,2,0,0,0,1,0,0,1,1,1,0,0,0,2,-0.189866747
1,0,0,1,1,0,1,1,1,0,0,0,2,1,0,-0.342209943
0,1,1,1,0,1,2,0,0,0,0,0,1,1,1,-0.324801427
1,0,0,2,0,0,1,1,0,1,0,0,2,0,1,-0.513769465
1,2,0,0,0,1,0,0,2,0,1,0,0,2,0,-0.049922139
0,2,0,1,0,2,0,1,0,0,0,0,0,1,2,-0.09903644
0,1,0,0,2,2,0,0,1,0,0,1,0,2,0,-0.247803515
0,0,1,1,1,2,1,0,0,0,0,1,0,1,1,-0.388113251
1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,-0.398391381
1,0,2,0,0,0,1,0,0,2,0,2,1,0,0,-0.488675914
2,1,0,0,0,1,0,1,0,1,0,3,0,0,0,-0.330467536
2,0,0,0,1,1,0,1,0,1,0,2,0,1,0,-0.403807516
2,0,0,1,0,1,0,2,0,0,0,1,0,1,1,-0.440654065
0,1,1,1,0,2,0,0,0,1,0,1,0,2,0,-0.254840301
1,0,1,0,1,0,0,1,1,1,0,0,1,2,0,-0.328863653
0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,-0.36194813
0,0,2,0,1,1,0,1,1,0,1,0,1,1,0,-0.402502703
1,0,1,0,1,1,0,1,0,1,3,0,0,0,0,-0.362673148
1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,-0.233971888
1,1,0,0,1,0,0,2,0,1,1,0,0,1,1,-0.245362102
1,0,1,0,1,0,1,1,1,0,0,0,0,3,0,-0.339543517
1,0,1,1,0,0,0,2,0,1,1,0,1,1,0,-0.403371746
0,0,2,0,1,1,1,0,0,1,1,0,0,1,1,-0.415476695
1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,-0.444555844
0,0,0,2,1,0,1,1,0,1,1,1,1,0,0,-0.398858935
0,0,0,1,2,0,1,1,1,0,0,1,1,0,1,-0.386332887
1,1,0,0,1,0,0,0,2,1,2,0,0,0,1,-0.25125369
0,2,0,1,0,0,0,1,0,2,0,0,2,0,1,-0.120201591
1,1,0,0,1,0,0,0,1,2,1,0,2,0,0,-0.244441648
0,1,1,0,1,1,1,0,0,1,0,0,3,0,0,-0.217438226
1,0,0,1,1,0,2,0,1,0,1,1,1,0,0,-0.406683891
0,1,1,1,0,1,1,0,0,1,2,0,1,0,0,-0.243527878
1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,-0.415617229
0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,-0.238606037
1,1,0,0,1,0,0,0,2,1,0,1,1,0,1,-0.246274812
1,0,0,1,1,0,1,1,1,0,0,2,0,1,0,-0.410725479
0,0,0,2,1,1,0,1,1,0,0,2,0,1,0,-0.363192169
0,0,1,0,2,2,0,0,1,0,0,0,0,2,1,-0.269496804
1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,-0.382794365
0,1,0,2,0,0,0,1,0,2,1,2,0,0,0,-0.271381734
0,1,1,0,1,1,1,0,1,0,2,0,0,0,1,-0.268630924
1,1,0,1,0,0,1,2,0,0,1,1,1,0,0,-0.273265829
1,1,1,0,0,0,1,1,0,1,2,0,0,1,0,-0.18231322
0,0,2,1,0,0,3,0,0,0,0,1,0,1,1,-0.541953475
0,1,2,0,0,0,1,1,0,1,0,1,1,1,0,-0.290252871
1,0,1,0,1,0,0,2,1,0,1,0,2,0,0,-0.358742072
0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,-0.263396891
0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,-0.302179283
0,3,0,0,0,1,0,1,0,1,2,1,0,0,0,0.028009358
0,0,1,2,0,1,0,1,0,1,0,0,0,3,0,-0.550640506
1,0,0,0,2,0,0,1,2,0,0,2,1,0,0,-0.402994024
0,0,0,1,2,0,0,2,0,1,0,1,1,1,0,-0.329031132
2,0,0,1,0,0,0,0,1,2,1,1,0,1,0,-0.43196868
1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,-0.375384298
0,0,2,0,1,2,0,0,1,0,0,0,1,1,1,-0.338187563
1,0,1,0,1,1,0,0,0,2,1,0,1,0,1,-0.42008623
1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,-0.395465892
1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,-0.298510723
0,1,1,1,0,0,2,1,0,0,0,0,1,2,0,-0.23757491
3,0,0,0,0,0,1,1,1,0,0,2,0,0,1,-0.428283287
1,1,1,0,0,1,1,1,0,0,0,2,0,1,0,-0.317260308
1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,-0.122802541
0,2,1,0,0,3,0,0,0,0,0,1,1,0,1,-0.136575156
1,0,1,1,0,1,2,0,0,0,0,1,0,1,1,-0.485318814
1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,-0.330603629
1,1,0,1,0,1,1,1,0,0,0,0,2,0,1,-0.28311726
1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,-0.243185078
0,0,2,0,1,2,1,0,0,0,0,2,1,0,0,-0.404362526
2,1,0,0,0,0,1,0,0,2,1,1,0,1,0,-0.2503874
0,1,1,0,1,1,0,0,0,2,0,1,0,2,0,-0.185028885
1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,-0.344086752
0,2,0,0,1,1,0,1,0,1,0,2,0,0,1,-0.207222303
0,1,0,0,2,0,0,2,0,1,1,0,0,1,1,-0.231267441
1,0,0,0,2,1,1,1,0,0,1,1,0,0,1,-0.382184532
1,0,1,0,1,0,2,0,0,1,1,1,0,1,0,-0.382124794
0,0,1,2,0,1,1,0,0,1,1,0,2,0,0,-0.475734186
1,1,0,1,0,0,0,0,2,1,1,0,0,0,2,-0.256397404
0,2,1,0,0,1,1,0,1,0,1,1,1,0,0,-0.16312671
0,1,0,2,0,0,1,1,0,1,0,0,2,0,1,-0.277632747
1,1,0,0,1,0,2,0,1,0,1,0,1,0,1,-0.233691739
0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,-0.203080584
0,0,0,2,1,0,2,1,0,0,1,0,2,0,0,-0.384945102
0,2,0,1,0,0,0,1,2,0,1,1,0,0,1,-0.113533109
1,1,0,1,0,0,1,0,2,0,3,0,0,0,0,-0.225851186
0,0,1,0,2,1,1,0,1,0,1,1,0,0,1,-0.475315846
0,2,0,0,1,1,0,0,0,2,0,0,1,0,2,-0.306868353
0,1,0,1,1,0,0,0,1,2,0,0,1,1,1,-0.34630761
1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,-0.340905655
1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,-0.370463089
1,0,0,0,2,0,0,1,2,0,2,0,1,0,0,-0.440601476
0,0,0,1,2,1,1,1,0,0,1,1,1,0,0,-0.491170926
0,0,1,2,0,0,2,0,0,1,0,1,1,1,0,-0.690162509
0,2,0,1,0,0,1,1,0,1,0,1,1,1,0,-0.092473025
1,1,1,0,0,1,0,0,1,1,0,0,3,0,0,-0.242862712
2,0,0,1,0,0,2,0,1,0,0,0,1,1,1,-0.382246538
0,2,0,1,0,1,1,1,0,0,0,1,0,1,1,-0.091513287
1,2,0,0,0,1,1,0,0,1,1,1,1,0,0,-0.221686911
0,0,1,2,0,1,2,0,0,0,0,0,1,2,0,-0.553559804
1,0,0,1,1,0,2,0,1,0,1,0,0,2,0,-0.376784208
0,1,1,0,1,2,0,0,1,0,1,0,1,1,0,-0.158960395
0,2,0,0,1,1,0,2,0,0,0,2,1,0,0,-0.149126583
1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,-0.215046193
1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,-0.235152513
2,0,0,0,1,0,1,1,1,0,0,0,3,0,0,-0.315780548
1,0,2,0,0,1,0,0,1,1,0,1,1,1,0,-0.330521087
0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,-0.329474419
0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.371808931
0,1,1,0,1,2,0,0,0,1,1,2,0,0,0,-0.215040543
1,0,0,1,1,0,2,0,0,1,1,0,1,0,1,-0.35745449
0,0,0,2,1,0,1,0,2,0,1,0,0,0,2,-0.34510906
0,1,0,2,0,1,1,0,1,0,0,2,1,0,0,-0.263557486
1,0,0,2,0,0,1,0,2,0,2,1,0,0,0,-0.505282841
1,1,0,1,0,0,0,0,2,1,1,1,1,0,0,-0.332957947
0,1,0,2,0,0,1,0,1,1,0,0,2,0,1,-0.252155196
0,1,0,1,1,1,0,0,2,0,0,2,0,0,1,-0.262123193
0,2,0,1,0,1,0,0,1,1,1,0,1,0,1,-0.022175818
0,0,0,3,0,0,2,0,1,0,1,1,1,0,0,-0.583404264
1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,-0.306906916
1,2,0,0,0,0,0,1,0,2,0,2,0,1,0,-0.225982253
0,2,0,0,1,0,1,2,0,0,1,1,0,1,0,-0.155695593
0,1,1,0,1,1,1,1,0,0,0,0,1,2,0,-0.179860747
0,1,2,0,0,2,0,0,0,1,0,1,2,0,0,-0.284583746
1,1,1,0,0,1,2,0,0,0,0,0,1,2,0,-0.23940227
0,0,1,0,2,1,1,1,0,0,2,0,1,0,0,-0.301838964
2,0,0,0,1,0,2,0,0,1,1,0,0,2,0,-0.365359013
1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,-0.273528875
1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,-0.407340877
1,0,0,0,2,0,0,1,2,0,1,1,1,0,0,-0.374311274
0,0,1,0,2,1,1,0,1,0,0,0,1,0,2,-0.358454522
0,1,0,1,1,1,0,0,0,2,1,0,0,1,1,-0.257359078
0,0,1,2,0,0,1,0,1,1,0,0,0,2,1,-0.536811471
1,1,0,1,0,0,0,0,2,1,2,0,0,1,0,-0.195078289
0,1,0,1,1,0,0,0,1,2,0,1,0,1,1,-0.200631204
1,1,1,0,0,1,1,1,0,0,0,1,0,2,0,-0.257023801
0,3,0,0,0,0,1,2,0,0,0,0,0,1,2,-0.072143894
1,2,0,0,0,1,1,1,0,0,0,0,0,1,2,-0.192975132
3,0,0,0,0,0,3,0,0,0,1,0,0,2,0,-0.413316224
1,1,1,0,0,1,2,0,0,0,1,0,0,0,2,-0.305767511
1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,-0.28394398
1,1,1,0,0,1,2,0,0,0,1,0,1,1,0,-0.220288683
1,2,0,0,0,1,1,1,0,0,0,0,1,1,1,-0.091573318
0,1,2,0,0,3,0,0,0,0,0,1,1,0,1,-0.305751735
0,0,0,2,1,1,2,0,0,0,1,0,0,1,1,-0.381013203
1,2,0,0,0,1,0,1,0,1,0,3,0,0,0,-0.245012806
1,0,1,1,0,0,1,0,0,2,0,1,1,0,1,-0.490800744
0,1,0,0,2,1,1,0,1,0,1,1,0,1,0,-0.263776367
1,1,0,1,0,1,0,1,1,0,0,1,0,2,0,-0.279007503
1,0,1,0,1,0,0,0,2,1,0,0,1,2,0,-0.357191511
2,0,0,0,1,0,1,0,1,1,0,1,0,1,1,-0.430318901
0,1,1,1,0,2,0,0,0,1,1,1,0,1,0,-0.257411196
0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,-0.145044827
0,1,0,0,2,2,0,0,0,1,1,1,0,0,1,-0.254234974
2,0,0,0,1,0,1,0,2,0,0,1,1,1,0,-0.327741269
1,1,0,1,0,1,0,0,1,1,1,0,0,2,0,-0.262202637
0,1,0,2,0,0,1,0,0,2,0,0,1,2,0,-0.207028862
1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,-0.263356705
0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,-0.205018687
0,1,0,0,2,1,1,0,1,0,0,2,0,1,0,-0.311666911
0,1,0,2,0,0,0,0,1,2,1,0,0,1,1,-0.267141307
0,1,0,2,0,1,0,0,1,1,1,1,0,1,0,-0.303629818
0,1,1,0,1,0,1,0,2,0,0,2,0,0,1,-0.309123581
1,0,0,1,1,0,1,1,0,1,0,0,2,1,0,-0.311267478
1,0,0,1,1,0,2,0,0,1,0,0,1,1,1,-0.371562542
0,0,1,2,0,1,0,0,1,1,1,1,1,0,0,-0.480630618
0,2,0,0,1,0,0,1,2,0,0,2,0,1,0,-0.138250034
0,0,0,1,2,1,1,1,0,0,0,2,1,0,0,-0.40082164
1,1,1,0,0,0,1,0,2,0,0,1,1,1,0,-0.190725777
0,3,0,0,0,0,0,1,1,1,0,0,1,0,2,-2.69E-05
1,1,0,0,1,0,1,0,2,0,1,0,0,0,2,-0.312169834
0,1,0,2,0,0,1,1,1,0,0,0,2,0,1,-0.287415076
0,1,1,1,0,1,1,0,1,0,1,0,2,0,0,-0.283971063
0,1,1,1,0,1,1,0,0,1,2,0,1,0,0,-0.271151609
1,0,0,2,0,0,3,0,0,0,2,0,1,0,0,-0.53769739
1,1,0,1,0,0,1,0,1,1,1,0,0,0,2,-0.289417599
0,0,1,1,1,1,0,0,2,0,1,0,1,0,1,-0.413093953
0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,-0.247872138
1,0,0,1,1,1,0,1,1,0,1,2,0,0,0,-0.394103785
2,0,1,0,0,0,0,0,3,0,1,1,1,0,0,-0.384199059
1,0,0,2,0,1,0,0,1,1,0,1,2,0,0,-0.478302502
0,0,0,3,0,1,0,0,1,1,0,3,0,0,0,-0.557405308
0,0,1,2,0,2,0,0,1,0,2,1,0,0,0,-0.445108506
2,0,0,1,0,1,0,0,1,1,0,2,1,0,0,-0.414184884
1,0,1,1,0,1,0,0,2,0,1,2,0,0,0,-0.426526356
0,1,1,1,0,1,0,0,2,0,0,0,0,2,1,-0.33491986
1,0,0,2,0,1,1,0,0,1,1,1,0,0,1,-0.422543495
0,2,0,1,0,1,0,0,2,0,0,1,1,0,1,-0.112127775
0,0,0,2,1,2,1,0,0,0,0,0,1,0,2,-0.42050824
1,0,1,0,1,0,2,0,1,0,0,0,1,1,1,-0.416496516
0,1,1,1,0,0,0,0,2,1,0,1,1,1,0,-0.316347943
